Card   1: 52 74  9  7 90 77 55 97 31 66 | 29 80 38 92 54 28 36 17 81 19 96 24 64 90 69 86 37  1 94 31 13 84 23 68 58
Card   2: 19 94 92 73 38 36 84 56 77 11 | 45  2 20 81 76 48 65 42 44 71 59 39 75 37 83 29 52 78 70 87 54 64 47 63 74
Card   3: 91 11 74 58 59 60 50 44  2 14 | 53 94 58 35 73 80 71  9 74 44 66 40 95 50 42 91  2 24 60 59 11 14 37  5 45
Card   4: 65 93 62 18 29 95  8 79 60 16 | 78 62 68  4 96  8 57 95 79 75 72 60 74 16 55 39 76 71 65 18 53 93 28 90 29
Card   5: 98 19 69 18 44 42 74  8 64 90 | 14 49 90 75 53 42 19 64 39 43  8 28 96 81 50 67 74 21 29  1 45 69 98 68 89
Card   6: 98 60 96 86 73 55 89 59 68 51 | 91 55 60 79 56 23 98 28 99 89  1 49 25 32 29 27 50 86 96 30 59 24 65 53 41
Card   7: 19  4  6 90 97 27 28 55 23 41 | 11 37 21 63 56 53  5 38 74 44 31 68 54  3 35 25 71 58  2 66  9 87 30 67 86
Card   8: 48 59 27  1 38 92 65 44 80 87 |  1 92 38 44 18 46 80 59 87 48 67 81 10 71 36 34 89 27 23 33 88 84 83 16 65
Card   9:  4 34 45 89 63 72 25 19 29 55 | 49 55 24 29 35 15  4 81 91 13 14 58 72 65  6 78 25 19  7 89 82 63 34  8 71
Card  10: 34 82 81 66 98 67 52 96 39 94 | 79  5 46 81 76 16 65 26  7 94 62  2 96 10 39 67 73 25 85 15 66 98 47 52 50
Card  11: 73 99 27 43 66  1 61 90  3 40 | 72  2 21 61  7 15 11 23 94 24 10 64 17 55 70 97 28 51 62 58 46 93 99 80  1
Card  12: 52 14 64 38  6 43  9 36 40 18 | 54 22  4 35 70 61 95  9 34 84 68 12 56 74 53  5 64 21 18 51 27 52 80 36 28
Card  13: 72 29 63 45 98 17 35 68 25 30 | 59 12  2 19 26 54 44 58 83 38 64 87 49 42 36 23 80 20 57 76 84 24  4 81 95
Card  14: 96 61 86 27 95 67 88  8 43 50 | 61 81 29 59 41 62 44 13 12 98 85 50 56 34 94  7  9 52 40 95  1 64 68 70 23
Card  15: 82 25 71 35 10 14 85 92 57 79 | 56 69  8  5 47 96 23 41 90 38 58 13 26  9 86 21 43 40 18 51 73 55 60 45 54
Card  16: 12  8 92 93 48 78 80 74 23  4 | 78 48 91 31 33 26 56 46 63 72  2 69 10 13  7 75 74 53 85 68 24 32 19 90 96
Card  17: 74 17 98 47 85 26 62 92 23 12 |  7 88 86 56 38 83  6 52 44 10  9 65 79 82 39 74 19 20 98 75 66 16 90 51 42
